Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-XAJI0Y,0.31672719247206116,0.631578947368421,2,4,2,1,4,0.969369695507019,0.42211963067041347,0.00957441474722273,0.000757389956573364,0.0027958948178798135,1
CAMP-6DPBHS,0.01707429626211352,0.08771929824561403,3,4,3,1,3,0.30165721411045415,0.4670814933761542,0.049583833368110904,0.0001404273521358379,0.009950290269253361,1
CAMP-AHXTHV,0.7654140165727011,0.894736842105263,4,1,2,0,4,0.16161859941273482,0.5473705339221197,0.000663123287524878,0.010921626550018184,0.021652344604243413,1
CAMP-3A3ZMF,0.8973134567926004,0.43859649122807015,0,3,1,1,4,0.4364868669804111,0.855881172219992,0.0015261352021901519,0.004770959327791282,0.012600464558612643,1
CAMP-8MDD4V,0.22621937762083427,0.5789473684210527,1,2,0,0,3,0.3299344354611641,0.2960658370132477,0.004564111038276652,0.001595521261444764,0.005778560408188949,1
CAMP-30T9NT,0.12551915089986157,0.9649122807017545,3,1,3,2,3,0.40746550822573513,0.3101164191087917,0.01007873285492983,0.0007191529502874167,0.0049011754956150965,1
CAMP-3W5UZB,0.3378945045243876,0.7719298245614035,0,3,2,2,4,0.7827521016853707,0.4217181854676837,0.007251728826666395,0.001002077132240521,0.0034630315743463223,1
CAMP-IKCIDK,0.746072510583656,0.08771929824561403,3,2,4,0,1,0.6039378946945014,0.20714572460859093,0.002540099871841062,0.002869034945930138,0.002208684522623839,1
CAMP-WNNHJ7,0.4404606649144279,0.631578947368421,3,0,0,1,3,0.8647681106954668,0.4855479727017262,0.0061526191269016366,0.0011821835970588443,0.003607941824894336,1
CAMP-XVG0FN,0.9466503481069802,0.9824561403508771,1,2,1,0,2,0.6984232331764612,0.3151344841429145,0.002314861274419869,0.003148025122148084,0.002901655112539603,1
CAMP-9XUY41,0.885255111253787,0.5614035087719298,4,4,2,1,0,0.9758658139254254,0.26013649136892814,0.0034590278011384793,0.002106513645985624,0.0017091356932110227,1
CAMP-IBLJH7,0.3213017395317109,0.9122807017543859,2,4,1,2,4,0.9261292787900728,0.9845443596949017,0.009018405473020744,0.0008044985827604743,0.006834296938978777,1
CAMP-5LXO6Q,0.8242410866555647,0.3684210526315789,4,0,1,1,4,0.4918346003781023,0.11822561220393417,0.0018724120355836577,0.0038907255913955977,0.00155440239038608,1
CAMP-JIUJV6,0.03362693364900383,0.3508771929824561,1,1,3,0,0,0.054925385141386104,0.3227619429947812,0.0049904808433168584,0.0014587800740647337,0.03684689637661391,1
CAMP-OH9SDB,0.015248490198832287,0.08771929824561403,1,3,3,0,1,0.4274968826676321,0.9771176234443999,0.07748243216229449,8.723133063741052e-05,0.014684762821677647,1
CAMP-DW2PCN,0.048634658213117715,0.08771929824561403,1,2,2,2,0,0.014219057962270224,0.9542352468887998,0.0009948522915188755,0.007304060291131263,0.3810200099656079,1
CAMP-9T84AZ,0.1063782829397484,0.9473684210526316,0,4,4,1,3,0.7886850890953703,0.017663588920112407,0.022903644127002756,0.00031248995035237253,0.0001420437230101111,0
CAMP-YTJXEP,0.7586123873919063,0.8245614035087718,4,1,2,1,0,0.8629379349181449,0.8548775592131674,0.0035690796550914097,0.0020414673253025426,0.0063687377643695505,1
CAMP-Q85JSG,0.7860797335526976,0.05263157894736842,4,0,4,1,4,0.8493825670729255,0.04516258530710558,0.0033903604277741146,0.002149234436213824,0.0003385085911874758,0
CAMP-65KXVF,0.35230031500170544,0.5087719298245614,3,4,1,2,0,0.34898033063834927,0.8054997992773987,0.0031072054048841497,0.0023452963636311146,0.01482252162345718,1
CAMP-1T2TAL,0.3964607451696395,0.17543859649122806,3,0,0,1,2,0.8058203612083182,0.5832998795664392,0.006367326655194007,0.0011421191573181804,0.004653126351668755,1
CAMP-A753LC,0.5755101221885596,0.5087719298245614,3,2,2,0,3,0.285607980370862,0.5078281814532317,0.001558715431107725,0.004671551009541736,0.011420410151788296,1
CAMP-58DRC1,0.12814750907887082,0.5263157894736843,1,3,2,1,0,0.9573026024697316,0.39963869931754314,0.02314687903318602,0.0003091302708865111,0.002680262585723327,1
CAMP-1ERTJ5,0.5511727292791075,0.40350877192982454,4,4,4,2,4,0.940770685008648,0.3061019670814934,0.005352266450591179,0.0013598142637218447,0.0020879815796179158,1
CAMP-PHT0HL,0.8311430348508256,0.9473684210526316,1,4,1,1,3,0.9005470415510237,0.14893617021276595,0.0033997780118479796,0.0021432734812397653,0.001059328260335438,0
CAMP-9XPSEI,0.5146164804076965,0.14035087719298245,0,2,1,1,4,0.4937854470857971,0.6736250501806504,0.003010467041097368,0.0024207120273414384,0.00877118839132919,1
CAMP-MVIHCW,0.37986798017696277,0.9473684210526316,3,1,4,0,1,0.7573709826636097,0.4508229626655961,0.006245238479779773,0.0011645633542466988,0.003826681272645628,1
CAMP-I64CIY,0.36961537689853735,0.03508771929824561,1,3,1,1,2,0.38562406982824504,0.7332396627860298,0.0032722115927218813,0.0022269268386984815,0.012216991375645806,1
CAMP-HE7UR2,0.05493469232158263,0.8771929824561404,1,4,3,0,1,0.6728812195808697,0.8476515455640306,0.03715942617675706,0.00018981997896565434,0.00809986586869976,1
CAMP-3GDPPQ,0.003611484520776068,0.5263157894736843,0,3,0,0,2,0.7827521016853707,0.10598153352067444,0.42574008044608197,9.883224442193123e-06,0.0008689193866570376,0
CAMP-0Y9DOM,0.383399209486166,0.6842105263157894,2,4,2,2,0,0.826414866658622,0.051585708550782816,0.006751290872901341,0.001076817894727723,0.0003985304472358349,0
CAMP-5IGQPK,0.7175618466724183,0.631578947368421,4,3,0,0,3,0.9922167249909497,0.6920915295062224,0.00433811636480738,0.0016788810425980274,0.004481883771341632,1
CAMP-I7P5TB,0.03792058746814871,0.6140350877192982,2,0,2,0,0,0.8296930936004183,0.681653954235247,0.06522585657747094,0.00010499781942843067,0.005281364639376361,1
CAMP-94874F,0.025240264039646076,0.40350877192982454,3,4,3,2,2,0.5852540123084349,0.09895624247290245,0.06734761067483103,0.00010145945646772831,0.001091851664405549,0
CAMP-RHOCN9,0.6328524708573263,0.5263157894736843,1,3,1,0,2,0.4475684807529866,0.2242071457246086,0.002219639843228843,0.00328294277267284,0.0032297521743853636,1
CAMP-J2QP89,0.2284263959390863,0.08771929824561403,0,1,4,2,2,0.051787940951691404,0.4148936170212766,0.0007260249600120112,0.0099842196040392,0.050048092329104454,1
CAMP-UZFK8U,0.07116630886218174,0.017543859649122806,0,0,3,1,4,0.1729214432243273,0.6288639100762746,0.007493310538703677,0.0009695660778817825,0.02325572428707603,1
CAMP-T0CVS4,0.07786761902851067,0.3333333333333333,4,0,0,2,3,0.2714090342303206,0.6483340024086713,0.010735714688009828,0.0006747256541480141,0.015328436311921522,1
CAMP-F8CGVY,0.834594008948456,0.47368421052631576,2,1,4,0,0,0.5814729898234182,0.9827378562826176,0.0021861545573406485,0.003333171423607426,0.010865286755579242,1
CAMP-IE6IVW,0.6165807267109408,0.17543859649122806,4,3,1,2,0,0.4572824906480029,0.07005218787635488,0.0023275899996889338,0.0031308238215922036,0.0009968056414409315,0
CAMP-PVS7HZ,0.2907846953311531,0.05263157894736842,1,2,3,0,1,0.2568078516552029,0.7442794058611001,0.0027714248536573707,0.0026295841393480933,0.018585059743521908,1
CAMP-IOYKL1,0.43674886137918584,0.24561403508771928,4,1,4,1,2,0.6306665057720928,0.28984343637093535,0.004526871764039118,0.0016086854202219264,0.002957174358562444,1
CAMP-CQ99CH,0.21303745912000163,0.08771929824561403,0,3,3,2,2,0.4707775230280359,0.8139301485347251,0.006902788156858855,0.0010530491097421651,0.011112678883583384,1
CAMP-J755NF,0.17622038081097893,0.9298245614035088,0,1,3,1,2,0.4772334178029846,0.839622641509434,0.008442634838880147,0.0008598154563470903,0.011308327276949987,1
CAMP-4ZW9XA,0.8690435585160812,0.8421052631578947,3,1,1,0,0,0.4196532721933953,0.33500602167804094,0.0015151091940803628,0.00480556532156066,0.005139429344309918,1
CAMP-3KX7EE,0.8629842900423346,0.5087719298245614,3,4,2,0,1,0.5933993001086039,0.20875150541951024,0.0021575423807751477,0.003377321397446298,0.0022655813424999347,1
CAMP-DTJVZH,0.16901747557232,0.9649122807017545,1,3,4,1,4,0.47262781062708664,0.5012043356081896,0.00871351239352393,0.0008328811805000814,0.006820943187940025,1
CAMP-WJR64D,0.8625830139844706,0.6491228070175439,2,2,1,2,3,0.7485016692812034,0.9464070654355681,0.002722787787371602,0.0026765607803724413,0.00812975982604924,1
CAMP-PJA1WJ,0.22084227844545656,0.8771929824561404,4,4,3,2,4,0.8176058887414022,0.13428342031312726,0.011553118561262364,0.0006264997717119289,0.0010536189928247773,0
CAMP-0TPAC5,0.4792841235127706,0.9824561403508771,1,1,1,0,0,0.13432685732673666,0.7868325973504617,0.0008832372421507142,0.008220401412817654,0.037319926578083154,1
CAMP-6T4UFE,0.05222607893100058,0.017543859649122806,3,1,2,1,2,0.902538111902176,0.4249297470895223,0.05228725293522642,0.00013278903218636752,0.003024225354995731,1
CAMP-L6246H,0.47097770911498565,0.24561403508771928,4,1,4,1,3,0.6512006757572101,0.9708952228020876,0.004335391492388759,0.001679939067023184,0.009586009961515974,1
CAMP-ID25OW,0.9740173752533055,0.17543859649122806,3,3,2,2,0,0.3347411608543502,0.8036932958651145,0.0010777601077390823,0.006745422167683475,0.015415742396489763,1
CAMP-F75935,0.3440942196183865,0.12280701754385964,4,3,0,2,0,0.6350709947307027,0.6603773584905661,0.0057801039872112546,0.0012587479287909397,0.006686643994740086,1
CAMP-A0L725,0.9021688970927549,0.43859649122807015,2,4,4,2,0,0.5001810063955593,0.14191087916499398,0.0017394700064404605,0.004187391417576279,0.0018322842637178132,1
CAMP-3J2D54,0.8223149615778175,0.8771929824561404,1,2,2,1,3,0.8315634930211978,0.01244480128462465,0.003173049540221302,0.002296589409026381,9.317270511888206e-05,0
CAMP-I3QK2I,0.2915671836439879,0.7719298245614035,4,4,3,2,3,0.8263545311934355,0.2571256523484544,0.008863491877726429,0.0008186757246272464,0.001998396847780695,1
CAMP-AGL58K,0.7205112256977187,0.7543859649122806,0,0,4,2,1,0.9903463255701701,0.38338016860698515,0.004312240453582394,0.001688982094228106,0.002484600391949005,1
CAMP-XO9T7E,0.5321321803334603,0.07017543859649122,0,1,4,0,1,0.9914524757652549,0.8319951826575673,0.005841655821504363,0.0012454243732951062,0.005393326576659779,1
CAMP-8G8JDP,0.03162055335968379,0.08771929824561403,4,1,1,2,4,0.3123164796267246,0.9949819349658773,0.029238274204675164,0.0002432171818664277,0.020441449757449364,1
CAMP-0LVSNU,0.07893100058185028,0.43859649122807015,4,1,3,2,3,0.3936084630545835,0.0616218386190285,0.015334016074189235,0.00047029212874287143,0.0010235994491718551,0
CAMP-JZA7TZ,0.480126803234285,0.9298245614035088,4,4,0,1,3,0.929005269297293,0.4289441991168206,0.006065006488849664,0.0011993460570218673,0.002965388149748727,1
CAMP-0YNCXL,0.390200838666961,0.05263157894736842,0,4,2,1,3,0.6770041430352761,0.28904054596547574,0.0054362582843325204,0.0013387199457906077,0.0027461455961225734,1
CAMP-L4ZKLO,0.020304568527918784,0.3157894736842105,0,1,1,0,1,0.7509754233538474,0.9949819349658773,0.10530807186915325,6.224777116020548e-05,0.00851891079808775,1
